id	implemented behavior	runtime references	check references	additional qualification
GA-B09	Named posts, framed repair areas and explicit object feedback remove exact-pixel targeting; current viewport observations do not qualify final illustrated artwork or every display.	scene,bakeryWorld,art,css	river,bakery,measurements	art,devices
GA-C01	Mara's first conversation names her actual passenger obligation and offers observing the current dock service before any final-duty completion.	mara,app,scene	mara,whole,matrix	
GA-C02	A passenger launch with benches/operator and passengers is separate from the open seed cargo boat and fixed wooden bridge sections.	art,chapterWorld,scene,river	river,mara,whole	
GA-C03	Current service and the final event show actual passengers coming ashore before Mara can leave; no passenger-management side quest was added.	mara,gathering,gatheringWorld,scene	mara,gathering,whole,matrix	
GA-C04	Mara explains the last-boat overlap; usual/later choices and the world rehearsal make the constraint visible without counting down reading time.	app,chapter,worldActivity	interaction,mara,whole,matrix	
GA-C05	Offering bridge repair for usual-time attendance receives a specific work explanation; repaired access cannot set Mara off duty.	mara,app,gathering	mara,whole,matrix	
GA-C06	Offers, early time agreement, scoped invitations and Grandma's final report have separate retained state and specific replies.	chapter,mara,gathering,panels	interaction,mara,gathering,matrix	
GA-C07	Permission and a visible page handoff precede carried ownership; opening the page or taking it never creates attendance.	model,mara,app	interaction,mara,whole,matrix	
GA-C08	Mara's request to hear Grandma is fulfilled through actual attendance or the later physical copy receipt, not an inferred read event.	mara,gathering,model	whole,matrix,finale	
GA-C09	All three Mara arrangements change actual attendance, teller/listener behavior, final service and applicable delivery duty.	gathering,gatheringWorld,chapter,finale	whole,matrix,gathering	
GA-D01	Visible broken crossing sections and the maintenance note explain damage, reuse and the connection to Grandma's bank.	scene,content,river	river,whole	
GA-D02	Generous visible post previews and placement tolerance support ordinary positioning; wide gaps and unplaced previews remain distinct.	model,river,app,scene	river	
GA-D03	Opposing narrow and wide posts are labeled and available through native non-drag placement controls as well as scene targets.	river,scene,app	river,whole	
GA-D04	The selected real section can move and turn; explicit Place and Join apply the preview, preserving materials and explaining misalignment.	model,app,scene	river,save	
GA-D05	The same section lengths span the narrow crossing and leave a visible gap at the wide crossing; recovery reuses them without resizing.	river,model,scene	river	
GA-D06	Each end has its own attachment identity and rope; one secured bank never implies the other end is fastened.	river,model,scene	river,matrix	
GA-D07	An ordinary attempt onto a reaching unsecured span triggers the same collapse through named, pointer or keyboard travel.	model,river,scene	river,loose	
GA-D08	Collapse returns Pip safely and places the intact sections at readable recovery positions; correct attachments and unrelated progress survive rebuilding.	river,model,scene	river,loose,save	
GA-D09	Unspanned water, section mismatch, loose ends, occupied boat route and unavailable actions have separate current feedback.	model,river,app	river,interaction	
GA-D10	Construction context identifies the selected section, current preview, confirmation and return; the competing walk goal is suppressed.	interaction,app,css	river,interaction	
GA-D11	The navigable channel, actual cargo position and permanent bridge are separate; completed river travel never turns the bridge into a boat.	river,model,scene	river,whole,matrix	
GA-D12	Successful-first, missing-end collapse/recovery, seed-first/carry routes and interruption retain identical resources and valid progress.	model,river,persistence	river,loose,save,matrix	
GA-E01	Sending the seed ahead explicitly lets Grandma receive it and prepare soil while Pip still needs to cross; carrying it is equally valid.	content,app,river	whole,river,matrix	
GA-E02	Loading, steering and explicit dock receipt move the sole seed while Pip stays ashore and Grandma receives it.	river,model,scene,boatControls	river,matrix	
GA-E03	Cargo and empty-boat states identify their different effects; later harmless use cannot transfer a planted seed or count another substantive task.	river,model,boatControls	river,matrix	
GA-E04	Plant confirmation returns to the world and moves the same seed from its actual holder into soil with Pip and Grandma together.	model,scene,app	whole,river,matrix	
GA-E05	Planting and bloom have separate coherent boundaries and resume once; the rooted flower is the original seed's fulfilled promise.	model,river,scene	whole,river,matrix	
GA-E06	Grandma responds to the fulfilled promise and explains her garden and missing visitors; the next task reflects what Pip actually knows.	app,chapter,content	whole,river,matrix	
GA-F01	Grandma explains earlier story flowers, waiting places and new sharing before the library becomes part of the interaction.	app,content,lanterns	whole,river,finale	
GA-F02	Picnic and Duet are explicitly older, authored optional stories; source support returns to the ongoing adventure without a collection requirement.	lanterns,panels,storyStage,interaction	whole,finale,words	
GA-F03	Old contributions, three waiting flowers and the separately planted Pip flower are individually visible and inspectable before and after sharing.	lanterns,lanternWorld,scene	finale,whole	
GA-F04	Each particular world flower opens its own owner, status, image and available source, retaining the world menu and focus on return.	lanterns,app,model,finale	finale,whole	
GA-F05	Actual sharing changes the designated rooted flower once, with its title, author and supported picture rather than a generic completion counter.	gathering,mara,lanterns,lanternWorld,scene	whole,mara,gathering,finale,matrix	
GA-F06	Only Pip's actual report updates Grandma's knowledge of Mara; supplied explanation is identified separately from the child's own text.	chapter,panels,feedback	whole,mara,matrix	
GA-F07	Three actual visit-order families preserve known reports, current character location and completed work without inventing conversations.	chapter,mara,bakery,gathering	whole,matrix	
GA-F08	The completed library revisits the same contributions and exact selected/performed text; exploration and replay do not duplicate events.	lanterns,panels,finale	whole,finale,matrix	
GA-G01	The actual garden teller introduces Mara's earlier event, then the world clearly switches to guiding Mara while Pip remains at the present gathering.	mara,maraWorld,maraControls,gathering	mara,whole,matrix	
GA-G02	The original damaged bird, sister's promise, Mara's reach and the boy's hesitation occur in order; the boy's private motive is left uncertain.	content,mara,maraWorld	mara,whole	
GA-G03	The child asks permission, fetches tape, returns, aligns and mends in the world; the original repaired bird stays with its boy.	mara,model,maraWorld,maraControls	mara,whole,matrix	
GA-G04	Promise and repair are two supported lantern emphases; the choice changes its picture, not an asserted private motive or the source events.	chapter,panels,lanterns	mara,whole,matrix	
GA-G05	Source-based questions distinguish existing damage and plausible hesitation; misplaced tape remains visibly ineffective and recoverable without an answer gate.	content,panels,feedback,maraWorld	mara,literacy	liveText
GA-G06	Opening, practice, picture selection, early sharing and public retelling stay distinct; actual repair occurs once and returns to its real teller.	mara,model,lanterns	mara,whole,matrix	
GA-H01	The current route locates Sol at Rina's bakery, then at his workshop after witnessed work; his unfinished account and doubt precede the writing choice.	bakery,chapter,app,panels	bakery,whole,matrix	
GA-H02	Sol's workshop provides his actual page, original account and writing interaction after the bakery and gift; tools remain his work equipment.	chapterWorld,bakeryWorld,panels	bakery,whole	
GA-H03	The later accepted Group1 decision places the repair during Pip's present visit: Pip collects the permitted tile and directs Sol's actual repair.	bakery,bakeryWorld,design	bakery,whole,matrix	
GA-H04	Rina explains her promised bread and the threat to flour before any repair or ending prompt; its consequence is seen through baking.	bakery,chapterContent,bakeryWorld	bakery,whole	
GA-H05	The accessible bakery contains roof fault, flour, spare-tile shelf, oven and relevant people with staged world actions and named targets.	bakeryWorld,bakeryControls,bakery	bakery,whole	
GA-H06	The cracked tile leaks onto the interior floor; correct replacement stops the indoor leak while outside rain remains.	bakeryWorld,bakery,model	bakery,whole	
GA-H07	Rina moves flour away from puddles and checks it after repair; dry flour enables baking without hidden countdown or invented spoilage.	bakery,bakeryWorld	bakery,whole	
GA-H08	Bridge sections/ropes belong to maintenance; the replacement roof tile comes from Rina's permitted shelf; Sol retains his tools and the damaged tile stays aside.	river,bakery,bakeryWorld,app	bakery,river,matrix	
GA-H09	The player directs Sol to remove and replace the actual tile; beside-opening failure leaves the same replacement available for repositioning.	model,bakery,bakeryControls,bakeryWorld	bakery,whole	
GA-H10	Stopping the interior leak protects flour and enables Rina's baking; the world retains outside rain to distinguish cause and weather.	bakeryWorld,bakery	bakery,whole	
GA-H11	Rina checks flour, mixes dough, shapes and bakes during explicit preparation time; no ingredient grind or missed-gathering reading timer was added.	bakery,bakeryWorld,bakeryControls	bakery,whole,matrix	
GA-H12	Rina takes one actual loaf and walks with Pip to Sol; the gift and thanks are visible while the other promised loaves remain at the bakery.	bakery,model,bakeryWorld	bakery,whole,matrix	
GA-H13	The writing prompt follows the experienced dry flour, baking and actual thanks; Sol's later audience response refers to the selected consequence.	panels,bakery,gathering	bakery,whole,matrix	
GA-H14	Beside-opening placement keeps the leak and risk visible; correction reuses the same tile, with successful-first play equally valid.	bakery,model,bakeryWorld	bakery,whole	
GA-H15	Sol writes while bread bakes, retains the actual original/chosen page, acknowledges invitations, travels and only records it when shared.	bakery,gathering,chapter,gatheringWorld	whole,bakery,gathering,matrix	
GA-I01	Sol's source now follows the repair sequence the player experienced; the ending expresses the resulting bread or thanks rather than unexplained events.	panels,chapterContent,bakery	bakery,whole	
GA-I02	Original draft, later account and witnessed baking/thanks remain separately labeled; later information does not silently alter the source page.	panels,chapterContent,gatheringPanels	bakery,gathering,whole	
GA-I03	One writing workspace retains the original source, current draft, optional support, scene choice and separate Try/Use steps.	panels,draftReader,interaction	bakery,interaction,words	
GA-I04	Exact working, selected and performed text/revisions remain distinct through edits, source help, saving, lanterns and final narration with honest credit.	chapter,gathering,lanterns,draftReader	bakery,words,gathering,finale,matrix	
GA-I05	The direct supported-picture choice and unreviewed wording credit are explicit; live semantic interpretation and specific clarification are not qualified.	feedback,panels,worldActivity,serverFeedback	literacy,words,whole	liveText
GA-I06	Unreviewed child text stays identified as a suggested contribution, never updates source facts, and retains prepared/open-draft alternatives; live contradiction handling remains unavailable.	chapter,gathering,lanterns,feedback	whole,words,matrix	liveText
GA-I07	Trying an ending opens an exact immutable world rehearsal; Use separately confirms it, and the actual gathering performs the selected version later.	model,worldActivity,panels,gathering	interaction,bakery,gathering,whole	
GA-I08	Prepared bread/thanks wording carries support credit and preserves the child's draft; sharing an unfinished draft remains an equal valid outcome.	panels,chapter,gathering	interaction,whole,matrix	
GA-I09	Later working edits cannot replace the selected contribution; actual sharing snapshots the performed version used by its flower and final show.	chapter,gathering,lanterns,finale	gathering,finale,matrix	
GA-J01	Planning follows actual Mara and Sol reports; the chosen time/reader and visible invitations remain separate commitments.	chapter,gathering,panels	whole,interaction,matrix	
GA-J02	Usual/Pip, later/Pip and later/Mara change real duties, attendees, teller, listening and the required closing.	chapter,gathering,gatheringWorld,finale	whole,matrix	
GA-J03	An impossible usual-time Mara rehearsal shows her still working and no telling; revision changes the world preview without forcing a mistake.	worldActivity,chapter,panels	interaction,matrix	
GA-J04	Actual visits deliver the current invitation to its named recipient and receive the appropriate reply; global plan state cannot substitute.	chapter,gathering,panels	whole,matrix	
GA-J05	Changed time/role retains the earlier notices, identifies incompatible recipients and restores readiness only through the relevant new conversations.	chapter,gathering,panels	interaction,matrix	
GA-J06	Pip explicitly reports agreed arrangements to Grandma; a preview or opening the planning reader cannot mark that report complete.	gathering,chapter,panels	whole,gathering,matrix	
GA-J07	Readiness lists actual unfinished story preparations without a quiz score; compatible preparation stays complete across wording changes.	chapter,gathering,panels	whole,gathering,matrix	
GA-J08	Only beginning the gathering advances to the chosen event time; baking, reading and optional practice cannot trigger a missed departure.	chapter,gathering,bakery	whole,gathering,matrix	
GA-J09	Later arrival acknowledges the boat, passengers ashore, Mara off duty and her crossing before participation; intermediate saves cannot invent the next stage.	gathering,gatheringWorld,scene	whole,gathering,matrix	
GA-J10	Sol retains the actual original/chosen page through workshop readiness, invitation, departure, crossing, arrival and his world turn.	gathering,gatheringWorld,chapter	whole,gathering,matrix	
GA-K01	The gathering shows actual participants, current speaker and page in the world, with acknowledged turns and a corresponding reader return.	gathering,gatheringWorld,gatheringControls	whole,gathering,matrix	
GA-K02	Pip's welcome matches the actual usual/later arrangement and names why Mara is present or remains at work.	gathering,gatheringPanels	whole,matrix	
GA-K03	The current world teller is Pip or Mara as agreed; Mara is visibly absent, listening or speaking rather than a generic attendance flag.	gathering,gatheringWorld	whole,gathering,matrix	
GA-K04	Sol shares the exact selected contribution and Grandma's response refers to its bread, thanks or combined emphasis with proper credit.	gathering,gatheringPanels,lanterns	whole,gathering,finale,matrix	
GA-K05	An open draft receives actual optional questions, Sol's response and a choice to develop or retain it; neither question is mandatory.	gathering,gatheringPanels,chapter	whole,matrix	
GA-K06	A newly added bread/thanks ending is acknowledged as developed during discussion and then shared in the world, updating the same contribution.	gathering,gatheringWorld,gatheringPanels	whole,matrix	
GA-K07	Grandma's question and Sol's actual spoken reason precede her changed understanding; a preparation report cannot give her his private disclosure.	gathering,gatheringPanels,chapter	whole,gathering,matrix	
GA-K08	Grandma distinguishes earlier assumptions from the friends' reasons and later storm, fetches cushions, finishes and actually shares her own account.	gathering,gatheringWorld,chapterContent	whole,gathering,matrix	
GA-K09	Actual Mara, Sol and Grandma tellings update their specific waiting flowers, retaining author, exact words, picture and draft history.	lanterns,lanternWorld,gathering,scene	whole,finale,matrix	
GA-K10	Nine ordinary browser outcomes and the independent45 actual-handler combinations bind participants, contributions, closing and exact narration separately.	gathering,chapter,finale	whole,matrix	
GA-L01	After Grandma's telling, Pip places the selected real planting/gathering memory in his original flower, preserving actual attendees and teller.	model,scene,lanterns,gathering	finale,whole,matrix	
GA-L02	The later routes show Mara hear Grandma's account and their reciprocal closing exchange before the chapter can finish.	gathering,gatheringWorld,gatheringPanels	whole,finale,matrix	
GA-L03	On the usual route Grandma gives the actual copy, Pip carries it over the retained bridge, and working Mara receives it with a future-reading reply.	model,gathering,gatheringWorld,chapter	whole,matrix	
GA-L04	The final account links planting, Mara's arrangement, Sol's contribution and the actual reciprocal closing; explaining that relationship remains a review question.	chapter,chapterContent,finale	whole,matrix	owner
GA-L05	Finishing returns to the ready studio with distinct Watch/Narrate choices; either opens the resulting world picture show.	panels,finale,model,scene	whole,finale	
GA-L06	The four exact D042 paragraphs and pictures bind the actual route, selected contribution and credit; the closing picture uses Grandma's own page or delivered copy.	chapterContent,lanterns,storyStage,finale	whole,finale,matrix	art
GA-L07	Manual Previous/Next/Pause and exact-part support preserve picture position; unfinished replay at picture4 resumes, finished replay begins at1.	model,chapter,finale,interaction	finale,whole,matrix	
GA-L08	Explore and replay preserve the completed story; visible restart cancellation retains it and confirmed restart archives only its own run.	app,persistence,chapter,finale	save,whole,finale	
GA-M01	The reviewed event record identifies information, decision and consequence; actual reach, fastening, permission, scheduling and repair behavior realizes those connections.	design,content,chapterContent,model	whole,river,mara,bakery,matrix	
GA-M02	Own explanation, supplied help and Let Pip explain remain distinct; assistance never records independent reasoning or an assessment result.	feedback,panels,chapter	literacy,whole	
GA-M03	The explanation prompt and local support connect changed hours, final passengers and gathering time; an actual plan changes attendance accordingly.	feedback,mara,chapter,gathering	mara,whole,matrix	liveText
GA-M04	Grandma's assumption and Mara's explanation remain separate sources; an actual report changes her response and later account.	content,chapterContent,chapter,panels	whole,mara,matrix	
GA-M05	The causal sequence is visible: leak, replacement tile, stopped interior water, dry flour, baking and an accompanied thank-you gift.	bakery,bakeryWorld,chapterContent	bakery,whole	
GA-M06	Mara's supported pictures and local discussion allow uncertainty about hesitation rather than certifying a private motive; live interpretation remains unavailable.	panels,feedback,content	mara,literacy	liveText
GA-M07	Wide/loose bridge, misplaced tape/tile and incompatible plan each show their own consequence and recovery; first-success and all valid outcomes remain available.	model,river,mara,bakery,worldActivity	river,loose,mara,bakery,interaction,matrix	
GA-M08	Exposure, assistance, action, text provenance and optional speech attempts remain separate; completion produces no invented reading or learning score.	model,feedback,practice,persistence	literacy,words,whole,matrix	
GA-N01	The15 titled sources and72 exact components appear in their corresponding encounter, attributed page, old flower or route-specific ending.	content,chapterContent,panels,lanterns	words,whole,finale	
GA-N02	All1143 fixed-source occurrences have local reviewed meanings; dialogue/caption and own-writing support preserve exact targets, with unknown live explanations explicitly unavailable.	content,glossary,additionalWords,draftReader	words,literacy,whole	liveText
GA-N03	Word occurrences bind their current sentence; reviewed contextual overrides, pronouns and phrase explanations do not borrow another source's meaning.	content,glossary,wordJobs	words,whole	
GA-N04	Obligation, secure, hesitated and the remaining focus vocabulary occur in supported situations, with optional reuse and no lookup quota.	content,glossary,chapterContent	words,mara,river,whole	
GA-N05	Kept his promise, stayed put and Duet title/phrase help use the actual context, withheld unread details and retained reading/focus position.	content,glossary,app,finale	words,whole,finale	
GA-N06	Own-draft help binds the chosen occurrence and revision, preserving the full text; arbitrary live explanations are unavailable rather than invented.	draftReader,wordJobs,additionalWords	words	liveText
GA-N07	Explicit Use/Keep and undo affect only the selected occurrence/revision; a selected story contribution does not silently change with a working edit.	draftReader,wordJobs,chapter	words	liveText
GA-N08	Dispute withdraws uncertain extra help and binds one recheck to the retained text; synthetic replies test ownership, not live correction accuracy.	additionalWords,wordJobs,serverWords	words	liveText
GA-O01	Practice names the actual speaker and purpose for the current line, explanation, chosen ending or final narration, with a retained source return.	practice,interaction,panels,gatheringPanels	literacy,gathering,finale	
GA-O02	Local model reading, independent reading without recording and purposeful rereading remain optional and separate from game completion.	audio,practice,draftReader,finale	literacy,whole,finale	
GA-O03	Practice snapshots the exact source or selected draft span and revision; stale edits or a later page cannot be assessed as the earlier target.	practice,model,draftReader	literacy,words,finale	
GA-O04	Explicit microphone start, stop, temporary replay, discard and leave cleanup have synthetic-device integration checks; actual target-device capture remains unqualified.	practice,audio	literacy	microphone
GA-O05	Acoustic adapter and validation preserve uncertainty and target binding; adaptive pronunciation, omission, pause, expression and latency quality remain unavailable.	practice,serverSpeech	literacy	liveAudio
GA-O06	Final narration remains child-paced without a microphone; exact-part practice explicitly separates recording feedback from the story presentation.	finale,panels,practice	finale,whole	
GA-O07	Local model audio, playback, recording and word audio have owned cancellation/cleanup; synthetic overlap tests do not qualify actual target-device microphone behavior.	audio,practice,app,finale	literacy,words,finale	microphone
GA-O08	Unavailable/denied speech preserves independent practice and the story; no invented score or required successful assessment blocks continuation.	practice,feedback,serverSpeech	literacy,whole,finale	
GA-P01	Authored hints, reviewed meanings, unreviewed scene choice and unavailable live services have distinct provenance; no live understanding is claimed.	feedback,serverFeedback,serverWords,serverSpeech	literacy,words,whole	liveText,liveAudio
GA-P02	The implementation retains text and has structured clarification contracts, but actual handling of brief/ambiguous writing awaits authorized live qualification.	feedback,serverFeedback	literacy	liveText
GA-P03	The interface distinguishes explanation, hint, clarification and suggested picture; only explicit player confirmation can select or cause world action.	feedback,worldActivity,model	literacy,interaction,words	liveText
GA-P04	Requests bind only exposed current sources and exact revisions; stale/unowned responses cannot change selected text or independently command the world.	feedback,wordJobs,serverFeedback,model	literacy,words	
GA-P05	Edit, stop, leave and recheck retain writing and reject stale responses; scoped synthetic tests identify the asynchronous seam honestly.	feedback,wordJobs,draftReader	literacy,words	
GA-P06	The full draft remains saved while the child selects a bounded feedback/practice span; there is no forced deletion or hidden truncation.	draftReader,feedback,chapter	bakery,words	
GA-P07	Local help works without model credentials; unavailable, slow and failed live requests keep the story and draft usable with truthful status.	feedback,serverFeedback,serverSpeech,serverWords	literacy,words,whole	liveText,liveAudio
GA-P08	The original1/75 exhausted-credit ledger and provider-disabled services remain intact; no child profile, raw-audio save, hidden retry or activation is added.	serverFeedback,serverSpeech,serverWords,persistence	literacy,words,protected	
GA-Q01	Reader confirmation yields the visible actual world operation and returns to its correct source, speaker or current situation throughout the chapter.	interaction,model,worldActivity,gatheringWorld	whole,interaction,bakery,mara,gathering,finale	
GA-Q02	Mode-specific goal/role text identifies the next relevant action; memory placement suppresses the walk goal and Sol's actual gathering location has correct guidance.	chapter,interaction,app	whole,interaction,river,bakery,finale,matrix	owner
GA-Q03	Response groups name the role and use equal prominent alternatives; reading tools, preview, confirmation and selected state are explicitly labeled.	panels,app,css,interaction	whole,interaction,literacy	
GA-Q04	Replies and world turns name the responding character and use the actual chosen conversation, rather than an anonymous status sentence.	panels,gatheringPanels,gathering,app	whole,gathering,mara	
GA-Q05	Scrollable source and fixed relevant actions remain usable at tested compact/larger settings; finale support now stacks into full-width readable controls.	css,app,panels,finale	interaction,bakery,gathering,finale,literacy	devices
GA-Q06	A prominent feedback/hint area and Where is that?/Help controls identify the current unresolved task without performing the action or marking understanding.	app,chapter,interaction,css	interaction,river,whole	owner
GA-Q07	Input ownership resets held keys across reader, arrangement, boat and story roles; confirm/back/cancel retain the relevant state and discard only previews.	model,interaction,app	interaction,river,mara,bakery,finale	
GA-Q08	Visible named controls cover movement, post placement, boat steering, tile/tape work, world speaking and particular flower selection with keyboard returns.	app,boatControls,bakeryControls,maraControls,gatheringControls	whole,river,bakery,mara,finale	
GA-Q09	Nested Help, sources, practice, own writing, rehearsal, planner and individual lanterns preserve their actual parent, view state and focus.	interaction,model,draftReader,app	interaction,bakery,words,gathering,finale	
GA-Q10	Current desktop/compact inspection and native controls establish only their stated scope; all-device access, microphone, art and retained performance targets remain separately qualified.	css,app,scene,storyStage	interaction,literacy,measurements,finale	devices,art,performance
GA-R01	One immutable GardenStore serializes world, reader, draft and presentation commands; preview state cannot masquerade as a committed world event.	model,chapter,gathering	whole,interaction,matrix	
GA-R02	Possession, source exposure, actual NPC knowledge, promises, invitations and completed telling remain separate through the connected route.	model,chapter,gathering,persistence	whole,interaction,mara,matrix	
GA-R03	Working revision, selected contribution and performed record are preserved separately through editing, saving, archive and replay with exact text and origin.	chapter,gathering,persistence,lanterns	words,gathering,finale,matrix	
GA-R04	Acknowledged commits, proposals and active task boundaries survive interruptions; reload restores the coherent task and cannot invent unfinished actions.	model,persistence,chapter,gathering	river,mara,bakery,gathering,finale,save,matrix	
GA-R05	Revised river, bird, tile/loaf, arrival, speaking and memory actions retain ownership at start/middle/end and avoid duplicate transfer or fabricated progress.	model,river,mara,bakery,gathering	river,mara,bakery,gathering,finale,matrix	
GA-R06	Save acknowledgment, damaged-current recovery, stale-writer rejection, authentic old payloads and labeled fault seams retain prior data and current state.	persistence,model,app	save,measurements,matrix	
GA-R07	Visible Pause restart/cancel and final replay preserve unrelated namespaces and archive the current run only after explicit confirmation.	app,persistence	save,whole,finale	
GA-S01	Current status distinguishes implementation, exact evidence and unresolved product qualification while retaining the original failed experience audit and historical receipts.	status,ledger,guide	protected	owner
GA-S02	Nine fresh routes and dedicated river/repair cases use ordinary named controls; geometry projections, migration injection and synthetic faults remain explicitly labeled.	app,boatControls,bakeryControls,maraControls	whole,river,bakery,mara,save	
GA-S03	Every original row retains its finding, accepted event, original task owners, concrete runtime/check links and an explicit local result or remaining qualification.	ledger,design	whole,matrix,ledgerReview	owner
GA-S04	Five physical histories, nine story outcomes, changed plans, alternate visits, first-success routes, setbacks and recovery have separate current integration evidence.	model,chapter,gathering	whole,river,loose,bakery,mara,matrix	
GA-S05	Current scene inspection, resource/frame measurements and original artwork hashes preserve the unchanged quality targets; failed metrics and final art acceptance remain open.	scene,storyStage,css	measurements,protected	art,performance,devices
GA-S06	Live text/speech qualification remains halted at1/75; no local pass, synthetic response or provider setting authorizes resumed calls or activation.	serverFeedback,serverSpeech,serverWords	protected,literacy,words	liveText,liveAudio
GA-S07	Independent adult native review precedes an owner playthrough; no child-live study or9–12-year-old usability/learning claim has been collected or inferred.	status,ledger	whole,ledgerReview	owner,learner
GA-S08	The built authored server supports a fresh chapter without secrets; the bounded demonstration uses actual reading, choice, world action, consequence and ending footage with disclosed cuts.	guide,status	whole,recording,protected	owner
